SEARCH_STRING,L1_CATEGORY,L2_CATEGORY,CURRENT_MONTH_VOLUME,PREV_MONTH_VOLUME,MOM_GROWTH_PCT,ZERO_RESULT_RATE
spray bottles,makeup,makeup brushes and tools,12837,285,4404.21,0.00
pantyliners,hygiene and wellness,feminine hygiene,8453,255,3214.90,0.02
vicks lozenges,hygiene and wellness,basic pharma,5021,253,1884.58,0.00
l'oreal paris moisture,bath body and hair,shampoo and conditioner,4917,553,789.15,0.02
whisper period panty,hygiene and wellness,feminine hygiene,3518,406,766.50,0.03
hair coloring brush,makeup,hair brushes and styling tools,2415,382,532.20,0.00
paranda,beauty and grooming,beauty accessories,6452,1240,420.32,0.03
garnier colours,beauty and grooming,hair colour,1951,395,393.92,0.00
bblunt colours,beauty and grooming,hair colour,1955,419,366.59,0.00
parandi,beauty and grooming,beauty accessories,1180,261,352.11,0.00
bridal facial kit,beauty and grooming,face and lip care,2149,501,328.94,0.05
crepe,hygiene and wellness,wound care and pain relief,2051,482,325.52,0.00
aroma magic facial kit,beauty and grooming,face and lip care,3700,871,324.80,0.03
kiro,makeup,lip makeup,7277,1856,292.08,0.01
close up,hygiene and wellness,oral care,12680,3327,281.12,0.00
tooth brushes,hygiene and wellness,oral care,1006,269,273.98,0.00
mars cosmetics mars,makeup,lip makeup,1097,301,264.45,0.00
dabur miswak toothpaste,hygiene and wellness,oral care,1593,438,263.70,0.00
chocolate for couples,hygiene and wellness,sexual wellness,1319,366,260.38,0.08
cerave moisturization,bath body and hair,body lotion,1212,338,258.58,0.00
nooky chocolate,hygiene and wellness,sexual wellness,5430,1526,255.83,0.02
sofy wellness,hygiene and wellness,feminine hygiene,1426,403,253.85,0.07
bridal kit,beauty and grooming,face and lip care,1330,393,238.42,0.00
durex extra time condom,hygiene and wellness,sexual wellness,1839,547,236.20,0.00
vwash wash,hygiene and wellness,feminine hygiene,11956,3640,228.46,0.00
prega news test kit | one step urine hcg pregnancy test kit device | 99% accurate results in 5 mins | india's no 1 pregnancy kit,hygiene and wellness,basic pharma,1624,498,226.10,0.00
soft pads,hygiene and wellness,feminine hygiene,1026,315,225.71,0.19
cera ve,bath body and hair,body lotion,12309,3780,225.63,0.02
cotton ear bud,makeup,makeup brushes and tools,3183,982,224.13,0.00
soap paper,hygiene and wellness,hand wash and sanitizer,3453,1086,217.96,0.03
aphrodisiac chocolate,hygiene and wellness,sexual wellness,823,260,216.54,0.00
zandu pain balm,hygiene and wellness,wound care and pain relief,1197,382,213.35,0.08
aroma facial kit,beauty and grooming,face and lip care,2272,730,211.23,0.00
hyphen serums,beauty and grooming,face and lip care,1110,357,210.92,0.09
l'oreal paris beauty,beauty and grooming,hair colour,1023,332,208.13,0.00
prega news pregnancy,hygiene and wellness,basic pharma,7774,2604,198.54,0.00
aroma magic facial,beauty and grooming,face and lip care,779,266,192.86,0.00
glowing skin,beauty and grooming,face and lip care,1137,389,192.29,0.00
spinz bb cream,bath body and hair,face cream,1198,422,183.89,0.08
ghar soaps glow,bath body and hair,soap,975,348,180.17,0.00
gel facewash,bath body and hair,face wash and scrub,2814,1018,176.42,0.04
toothpaste paste,hygiene and wellness,oral care,2241,812,175.99,0.00
premium rose water,beauty and grooming,gift packs,1506,546,175.82,0.00
sanfe tan removal,bath body and hair,face cream,1420,515,175.73,0.00
closeup everfresh,hygiene and wellness,oral care,3008,1103,172.71,0.00
sanfe instant tan & dead skin removal exfoliating gel | visibly removes tan smooth & bright skin,bath body and hair,face cream,708,260,172.31,0.00
vilvah serum,beauty and grooming,face and lip care,982,362,171.27,0.00
cetaphil moisturizer,bath body and hair,body lotion,1017,381,166.93,0.00
vaseline moisturiser,bath body and hair,body lotion,7987,3014,165.00,0.00
gold mehandi,makeup,makeup brushes and tools,2065,784,163.39,0.05
perfume pack,bath body and hair,"perfumes, deos and talc",3336,1282,160.22,0.00
beardo parfum,bath body and hair,"perfumes, deos and talc",701,270,159.63,0.00
l'oreal paris colours,beauty and grooming,hair colour,1134,437,159.50,0.00
creme bleach,beauty and grooming,face and lip care,2373,924,156.82,0.00
tonymoly face,beauty and grooming,face makeup,657,257,155.64,0.00
sotrue strobe cream,beauty and grooming,face makeup,775,308,151.62,0.13
cold pressed castor oil,bath body and hair,hair oil and serum,713,284,151.06,0.00
hand wash liquid,hygiene and wellness,hand wash and sanitizer,951,384,147.66,0.00
mars tinted lip,makeup,lip makeup,1370,557,145.96,0.07
navratna,bath body and hair,hair oil and serum,2445,995,145.73,0.00
face wax strip,beauty and grooming,hair removal,909,374,143.05,0.00
wottagirl,bath body and hair,"perfumes, deos and talc",4453,1839,142.14,0.00
bombay shaving company beauty,beauty and grooming,shaving needs,672,278,141.73,0.00
insight cosmetics concealer,makeup,face makeup,2527,1047,141.36,0.00
vilvah brightener,beauty and grooming,face and lip care,1354,561,141.35,0.00
re'equil cream,beauty and grooming,beauty accessories,3704,1536,141.15,0.00
ultra pads,hygiene and wellness,feminine hygiene,4543,1887,140.75,0.07
bare anatomy body,bath body and hair,shampoo and conditioner,667,278,139.93,0.00
nivea roll,bath body and hair,"perfumes, deos and talc",844,356,137.08,0.00
nivea 50ml,bath body and hair,"perfumes, deos and talc",1216,525,131.62,0.08
sensodyne rapid relief sensitive toothpaste,hygiene and wellness,oral care,690,299,130.77,0.00
liril soaps,bath body and hair,soap,1103,478,130.75,0.00
lal dant manjan,hygiene and wellness,oral care,615,269,128.62,0.00
moisturizer lotion,bath body and hair,body lotion,4547,1989,128.61,0.00
colgate active salt toothpaste,hygiene and wellness,oral care,847,372,127.69,0.00
sensodyne repair,hygiene and wellness,oral care,15994,7060,126.54,0.02
pond's bb cream,bath body and hair,face cream,6243,2763,125.95,0.00
tonymoly toner,beauty and grooming,face makeup,802,355,125.92,0.00
lifebuoy 10,hygiene and wellness,hand wash and sanitizer,1553,688,125.73,0.00
mamaearth wash,bath body and hair,face wash and scrub,1460,651,124.27,0.07
bare anatomy dandruff,bath body and hair,shampoo and conditioner,867,392,121.17,0.00
shampoo sachets,bath body and hair,shampoo and conditioner,2261,1025,120.59,0.04
kiro lipstick,makeup,lip makeup,959,435,120.46,0.00
wattagirl perfume,bath body and hair,"perfumes, deos and talc",609,277,119.86,0.00
garnier colour,beauty and grooming,hair colour,8525,3892,119.04,0.01
ear swab,makeup,makeup brushes and tools,1033,472,118.86,0.29
